"","x"
"1",2111
"2",8366
"3",2093
"4",8423
"5",3613
"6",5961
"7",7819
"8",1014
"9",189
"10",9285
"11",1682
"12",299
"13",8967
"14",1034
"15",9575
"16",7817
"17",2362
"18",4481
"19",861
"20",4605
"21",6353
"22",3835
"23",6063
"24",3298
"25",3797
"26",9665
"27",1388
"28",9196
"29",4322
"30",2091
"31",4460
"32",5102
"33",3980
"34",8271
"35",610
"36",8118
"37",4628
"38",2944
"39",7800
"40",8668
"41",4965
"42",6733
"43",3700
"44",4482
"45",3442
"46",719
"47",4687
"48",4147
"49",3524
"50",834
"51",7309
"52",5853
"53",9657
"54",3157
"55",8845
"56",7299
"57",6038
"58",8860
"59",3140
"60",2514
"61",7713
"62",8414
"63",8449
"64",1655
"65",9095
"66",96
"67",2520
"68",4557
"69",5377
"70",4041
"71",1526
"72",3966
"73",2484
"74",9912
"75",1316
"76",2746
"77",3955
"78",3240
"79",4947
"80",3745
"81",1009
"82",5301
"83",3643
"84",7760
"85",8629
"86",6840
"87",9718
"88",9988
"89",406
"90",4142
"91",9052
"92",1187
"93",2415
"94",3090
"95",2458
"96",6869
"97",7555
"98",1575
"99",7234
"100",8179
"101",352
"102",3858
"103",638
"104",4827
"105",3482
"106",1761
"107",6027
"108",7278
"109",1720
"110",3424
"111",4594
"112",2580
"113",6597
"114",7017
"115",1819
"116",8079
"117",3219
"118",5967
"119",5750
"120",4168
"121",8545
"122",6535
"123",6393
"124",9883
"125",5151
"126",4081
"127",3104
"128",8526
"129",743
"130",7132
"131",7217
"132",3602
"133",6962
"134",8200
"135",1972
"136",8224
"137",2534
"138",5623
"139",7170
"140",396
"141",4996
"142",6888
"143",7763
"144",9304
"145",8086
"146",8722
"147",7420
"148",8474
"149",7354
"150",5334
"151",9954
"152",5057
"153",8138
"154",1947
"155",5351
"156",7738
"157",6761
"158",25
"159",1626
"160",192
"161",1358
"162",32
"163",8306
"164",3772
"165",2730
"166",9207
"167",219
"168",9261
"169",826
"170",8272
"171",6153
"172",3852
"173",1436
"174",8322
"175",3087
"176",2057
"177",2605
"178",5060
"179",3986
"180",6120
"181",7726
"182",7272
"183",5426
"184",6298
"185",4954
"186",569
"187",5493
"188",9016
"189",3438
"190",3947
"191",8319
"192",444
"193",2270
"194",9476
"195",7511
"196",2562
"197",1465
"198",1580
"199",6489
"200",7859
"201",9753
"202",3333
"203",8251
"204",5067
"205",2493
"206",3920
"207",6803
"208",4905
"209",8880
"210",2373
"211",9068
"212",2495
"213",5027
"214",6661
"215",5008
"216",8782
"217",8803
"218",7468
"219",7128
"220",313
"221",8330
"222",5297
"223",2735
"224",4304
"225",9605
"226",1175
"227",8699
"228",7397
"229",7785
"230",9928
"231",8116
"232",7669
"233",2657
"234",1728
"235",2265
"236",2409
"237",4510
"238",5038
"239",8294
"240",1536
"241",7925
"242",7039
"243",4242
"244",1567
"245",5395
"246",6154
"247",1591
"248",4811
"249",3365
"250",3451
"251",3923
"252",7734
"253",3993
"254",9768
"255",8744
"256",8170
"257",1477
"258",8285
"259",6986
"260",8946
"261",6223
"262",6279
"263",1110
"264",3194
"265",4664
"266",105
"267",6195
"268",5471
"269",8192
"270",4846
"271",7816
"272",1124
"273",9265
"274",9790
"275",5832
"276",6117
"277",4480
"278",8267
"279",3904
"280",5641
